platform_code,time,latitude,longitude,slp,drogue,sst,battery,presdiff,salinity,gpsfixdel
,UTC,degrees_north,degrees_east,hPa,,deg C,volts,hPa,PSU,
4101644,2021-11-23T00:00:00Z,28.5944,-48.4954,NaN,1,25.3,13.2,NaN,NaN,0
4101644,2021-11-23T01:00:00Z,28.5874,-48.5014,NaN,1,25.29,13.2,NaN,NaN,0
4101644,2021-11-23T02:00:00Z,28.5826,-48.5054,NaN,1,25.29,13.2,NaN,NaN,0
4101644,2021-11-23T03:00:00Z,28.5804,-48.5112,NaN,1,25.29,13.2,NaN,NaN,0
4101644,2021-11-23T04:00:00Z,28.579,-48.5166,NaN,1,25.3,13.2,NaN,NaN,0
4101644,2021-11-23T05:00:00Z,28.577,-48.5204,NaN,1,25.28,13.2,NaN,NaN,0
4101644,2021-11-23T06:00:00Z,28.5756,-48.5222,NaN,1,25.29,13.2,NaN,NaN,0
4101644,2021-11-23T07:00:00Z,28.5728,-48.5214,NaN,NaN,25.29,13.2,NaN,NaN,0
4101644,2021-11-23T08:00:00Z,28.5702,-48.5212,NaN,1,25.31,13.2,NaN,NaN,0
4101644,2021-11-23T09:00:00Z,28.5656,-48.522,NaN,1,25.37,13.2,NaN,NaN,0
4101644,2021-11-23T10:00:00Z,28.56,-48.5236,NaN,1,25.43,13.2,NaN,NaN,0
4101644,2021-11-23T12:00:00Z,28.5524,-48.527,NaN,NaN,25.5,13.2,NaN,NaN,0
4101644,2021-11-23T13:00:00Z,28.5494,-48.5296,NaN,1,25.52,13.2,NaN,NaN,0
4101644,2021-11-23T14:00:00Z,28.5458,-48.5322,NaN,1,25.5,13.2,NaN,NaN,0
4101644,2021-11-23T15:00:00Z,28.542,-48.5346,NaN,1,25.49,13.2,NaN,NaN,0
4101644,2021-11-23T16:00:00Z,28.537,-48.5362,NaN,NaN,25.49,13.2,NaN,NaN,0
4101644,2021-11-23T17:00:00Z,28.5308,-48.5386,NaN,1,25.49,13.2,NaN,NaN,0
4101644,2021-11-23T18:00:00Z,28.5226,-48.5412,NaN,1,25.49,13.2,NaN,NaN,0
4101644,2021-11-23T19:00:00Z,28.5144,-48.5444,NaN,1,25.48,13.2,NaN,NaN,0
4101644,2021-11-23T20:00:00Z,28.5062,-48.55,NaN,1,25.39,13.2,NaN,NaN,0
4101644,2021-11-23T21:00:00Z,28.4978,-48.5556,NaN,1,25.24,13.2,NaN,NaN,0
4101644,2021-11-23T22:00:00Z,28.4918,-48.5602,NaN,1,25.34,13.2,NaN,NaN,0
4101644,2021-11-23T23:00:00Z,28.4844,-48.5636,NaN,NaN,25.34,13.2,NaN,NaN,0
4101644,2021-11-24T00:00:00Z,28.4796,-48.5678,NaN,NaN,25.38,13.2,NaN,NaN,0
4101644,2021-11-24T01:00:00Z,28.473,-48.5694,NaN,1,25.37,13.2,NaN,NaN,0
4101644,2021-11-24T02:00:00Z,28.4644,-48.5704,NaN,1,25.34,13.2,NaN,NaN,0
4101644,2021-11-24T03:00:00Z,28.4546,-48.5706,NaN,1,25.34,13.2,NaN,NaN,0
4101644,2021-11-24T04:00:00Z,28.4454,-48.5708,NaN,1,25.33,13.2,NaN,NaN,0
4101644,2021-11-24T05:00:00Z,28.4364,-48.5716,NaN,NaN,25.32,13.2,NaN,NaN,0
4101644,2021-11-24T06:00:00Z,28.4272,-48.5732,NaN,NaN,25.28,13.2,NaN,NaN,0
4101644,2021-11-24T07:00:00Z,28.4184,-48.5752,NaN,1,25.17,13.2,NaN,NaN,0
4101644,2021-11-24T08:00:00Z,28.41,-48.5762,NaN,1,25.13,13.2,NaN,NaN,0
4101644,2021-11-24T09:00:00Z,28.402,-48.5772,NaN,NaN,25.15,13.2,NaN,NaN,0
4101644,2021-11-24T10:00:00Z,28.394,-48.5766,NaN,NaN,25.17,13.2,NaN,NaN,0
4101644,2021-11-24T12:00:00Z,28.3816,-48.5726,NaN,NaN,25.24,13.2,NaN,NaN,0
4101644,2021-11-24T13:00:00Z,28.3754,-48.5692,NaN,1,25.26,13.2,NaN,NaN,0
4101644,2021-11-24T14:00:00Z,28.3698,-48.5654,NaN,1,25.27,13.2,NaN,NaN,0
4101644,2021-11-24T15:00:00Z,28.361,-48.5604,NaN,1,25.36,13.2,NaN,NaN,0
4101644,2021-11-24T16:00:00Z,28.3518,-48.5568,NaN,1,25.51,13.2,NaN,NaN,0
4101644,2021-11-24T17:00:00Z,28.3412,-48.5526,NaN,1,25.67,13.2,NaN,NaN,0
4101644,2021-11-24T18:00:00Z,28.3322,-48.5504,NaN,1,25.68,13.2,NaN,NaN,0
4101644,2021-11-24T19:00:00Z,28.3228,-48.5472,NaN,NaN,25.59,13.2,NaN,NaN,0
4101644,2021-11-24T20:00:00Z,28.3144,-48.5442,NaN,NaN,25.49,13.2,NaN,NaN,0
4101644,2021-11-24T21:00:00Z,28.3068,-48.5412,NaN,1,25.34,13.2,NaN,NaN,0
4101644,2021-11-24T22:00:00Z,28.301,-48.5384,NaN,1,25.27,13.2,NaN,NaN,0
4101644,2021-11-24T23:00:00Z,28.2972,-48.5354,NaN,1,25.27,13.2,NaN,NaN,0
4101644,2021-11-25T00:00:00Z,28.2944,-48.531,NaN,1,25.3,13.2,NaN,NaN,0
4101644,2021-11-25T01:00:00Z,28.2908,-48.5258,NaN,1,25.22,13.2,NaN,NaN,0
4101644,2021-11-25T02:00:00Z,28.2896,-48.522,NaN,1,25.2,13.2,NaN,NaN,0
4101644,2021-11-25T03:00:00Z,28.2872,-48.5178,NaN,1,25.2,13.2,NaN,NaN,0
4101644,2021-11-25T04:00:00Z,28.2836,-48.5126,NaN,1,25.19,13.2,NaN,NaN,0
4101644,2021-11-25T05:00:00Z,28.2786,-48.5068,NaN,1,25.34,13.2,NaN,NaN,0
4101644,2021-11-25T06:00:00Z,28.2734,-48.5024,NaN,1,25.26,13.2,NaN,NaN,0
4101644,2021-11-25T07:00:00Z,28.2696,-48.5008,NaN,1,25.14,13.2,NaN,NaN,0
4101644,2021-11-25T08:00:00Z,28.2706,-48.5004,NaN,1,25.05,13.2,NaN,NaN,0
4101644,2021-11-25T09:00:00Z,28.2724,-48.4972,NaN,NaN,25.18,13.2,NaN,NaN,0
