platform_code,time,latitude,longitude,slp,drogue,sst,battery,presdiff,salinity,gpsfixdel
,UTC,degrees_north,degrees_east,hPa,,deg C,volts,hPa,PSU,
1301714,2022-11-23T00:00:00Z,25.8372,-47.2022,1023.2,NaN,26.32,11.4,0.9,NaN,NaN
1501725,2022-11-23T00:00:00Z,38.1146,-55.1914,NaN,6,23.48,9.2,NaN,NaN,5
5501572,2022-11-23T00:00:00Z,31.8094,-45.9296,NaN,NaN,24.31,10.4,NaN,NaN,NaN
1301735,2022-11-23T00:00:00Z,26.717,-42.0384,1023.3,19,25.43,11.4,0.9,NaN,NaN
6402615,2022-11-23T00:00:00Z,17.2946,-46.0224,1016.4,42,26.87,11.2,1.5,NaN,2
6203767,2022-11-23T00:00:00Z,18.1784,-55.0654,1015.4,NaN,27.35,10.8,1.3,NaN,NaN
4102558,2022-11-23T00:00:00Z,12.6974,-61.3328,1011.7,8,25.45,10.6,1.9,NaN,5
4102547,2022-11-23T00:01:00Z,25.2247631,-60.749868,1021.9,17,27.27,10.2,0.0,NaN,NaN
4402751,2022-11-23T00:00:00Z,38.7864,-63.062,NaN,22,19.97,11.0,NaN,NaN,5
3101515,2022-11-23T00:00:00Z,31.1852,-57.814,NaN,NaN,24.82,13.4,NaN,NaN,NaN
4102548,2022-11-23T00:00:00Z,23.4495218,-72.2727065,1017.7,25,28.18,10.2,0.0,NaN,NaN
1301706,2022-11-23T00:00:00Z,23.2266,-51.0592,1020.6,16,26.41,11.0,1.1,NaN,NaN
4101851,2022-11-23T00:00:00Z,25.9296,-58.6528,1022.4,28,27.19,11.6,1.4,NaN,NaN
4102549,2022-11-23T00:00:00Z,22.262345,-66.2675603,1018.5,32,28.15,10.4,0.0,NaN,NaN
4402670,2022-11-23T00:00:00Z,22.1966,-41.395,1019.9,NaN,26.1,11.2,0.9,NaN,NaN
4102632,2022-11-23T00:00:00Z,35.4602898,-73.6099891,1024.6,45,24.03,10.2,0.0,NaN,NaN
4101642,2022-11-23T00:00:00Z,29.8528,-69.0904,NaN,1,25.29,13.2,NaN,NaN,NaN
4201704,2022-11-23T00:00:00Z,25.0860775,-80.4404299,1017.6,13,24.78,10.4,0.0,NaN,NaN
4402618,2022-11-23T00:00:00Z,32.9932,-61.4436,1027.3,NaN,24.37,11.0,0.2,NaN,NaN
4101844,2022-11-23T00:00:00Z,18.0916,-60.855,1015.9,NaN,27.63,11.2,1.7,NaN,NaN
1501773,2022-11-23T00:00:00Z,19.2222,-76.4258,1013.6,NaN,28.98,10.6,0.9,NaN,5
4102620,2022-11-23T00:00:00Z,27.5406791,-56.0695532,NaN,11,26.94,10.0,0.0,NaN,NaN
4201545,2022-11-23T00:00:00Z,32.354,-45.8992,NaN,NaN,24.69,9.4,NaN,NaN,5
1301755,2022-11-23T00:00:00Z,6.7082,-57.9248,1009.0,NaN,NaN,10.0,1.3,NaN,5
3201770,2022-11-23T00:00:00Z,28.6652,-62.163,NaN,15,26.22,11.0,NaN,NaN,NaN
1301756,2022-11-23T00:00:00Z,10.9778,-64.3636,1009.9,NaN,NaN,10.2,1.6,NaN,5
4102553,2022-11-23T00:00:00Z,13.4442,-78.3532,1010.9,7,28.97,10.6,1.0,NaN,5
4402671,2022-11-23T00:00:00Z,18.5,-61.1538,1015.8,NaN,27.71,11.2,1.4,NaN,NaN
4101541,2022-11-23T00:00:00Z,25.8162,-52.083,NaN,NaN,26.76,8.2,NaN,NaN,NaN
4102554,2022-11-23T00:00:00Z,17.8864,-71.2512,1013.6,6,27.13,10.4,1.1,NaN,5
4101546,2022-11-23T00:00:00Z,32.9466,-75.3884,NaN,1,23.91,12.4,NaN,NaN,NaN
1301700,2022-11-23T00:00:00Z,20.8948,-57.697,1017.9,NaN,27.45,11.2,1.4,NaN,NaN
4402877,2022-11-23T00:00:00Z,38.9021664,-74.4376991,1025.7,44,14.61,11.2,0.0,NaN,NaN
6203838,2022-11-23T00:00:00Z,18.0774,-55.6354,1016.5,36,27.41,11.4,1.5,NaN,3
4402753,2022-11-23T00:00:00Z,39.093,-64.14,NaN,7,24.15,11.0,NaN,NaN,4
4102560,2022-11-23T00:00:00Z,14.7942,-61.2206,1012.7,6,23.23,10.4,1.6,NaN,4
