platform_code,time,latitude,longitude,windspd,winddir,slp,drogue,sst,battery,presdiff,salinity,conductivity,gpsfixdel,avgwaveperiod,wvht,domwaveperiod,domwavedir
,UTC,degrees_north,degrees_east,m/s,degree,hPa,,deg C,volts,hPa,PSU,,,s,m,s,degree
1301731,2023-11-21T04:00:00Z,25.742,-40.8226,NaN,NaN,1016.2,NaN,27.3,10.6,-1.3,NaN,NaN,5,NaN,NaN,NaN,NaN
1301570,2023-11-21T04:00:00Z,25.7334,-52.2654,NaN,NaN,NaN,NaN,27.31,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301666,2023-11-21T04:00:00Z,40.6348,-52.7262,NaN,NaN,NaN,NaN,20.97,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301796,2023-11-21T04:00:00Z,17.098,-40.2204,NaN,NaN,1013.8,43,27.71,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203597,2023-11-21T04:00:00Z,32.1212,-67.2924,NaN,NaN,NaN,NaN,23.1,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5102764,2023-11-21T04:00:00Z,2.6302,-81.3238,NaN,NaN,NaN,NaN,27.89,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203849,2023-11-21T04:00:00Z,26.0552,-44.9118,NaN,NaN,1015.7,NaN,27.44,10.2,-1.6,NaN,NaN,5,NaN,NaN,NaN,NaN
4101848,2023-11-21T04:00:00Z,38.1646,-72.9412,NaN,NaN,1029.9,NaN,24.87,10.4,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1701715,2023-11-21T04:00:00Z,15.0964,-51.367,NaN,NaN,1012.4,NaN,28.25,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402660,2023-11-21T04:00:00Z,24.6604,-54.8612,NaN,NaN,1012.1,NaN,27.67,9.6,-1.7,NaN,NaN,5,NaN,NaN,NaN,NaN
1301713,2023-11-21T04:00:00Z,15.7456,-72.9886,NaN,NaN,1010.7,NaN,29.32,10.8,-0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301797,2023-11-21T04:02:00Z,17.9666,-44.063,NaN,NaN,1014.4,37,27.79,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301571,2023-11-21T04:00:00Z,29.7754,-61.4688,NaN,NaN,NaN,NaN,24.86,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402744,2023-11-21T04:00:00Z,40.787,-43.201,NaN,NaN,1014.1,25,20.59,10.2,-2.0,NaN,NaN,5,NaN,NaN,NaN,NaN
1301718,2023-11-21T04:00:00Z,30.7154,-45.552,NaN,NaN,1015.5,NaN,25.18,10.4,-2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301779,2023-11-21T03:00:00Z,23.8016,-51.1874,NaN,NaN,1014.6,44,27.48,11.6,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301779,2023-11-21T04:00:00Z,23.7986,-51.192,NaN,NaN,1014.1,44,27.48,11.6,-1.2,NaN,NaN,3,NaN,NaN,NaN,NaN
1301792,2023-11-21T04:00:00Z,19.7046,-46.3424,NaN,NaN,1013.8,60,28.08,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301749,2023-11-21T04:00:00Z,1.8168,-78.7628,NaN,NaN,NaN,5,26.57,10.2,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
1301719,2023-11-21T04:00:00Z,26.508,-55.2344,NaN,NaN,1011.6,NaN,26.4,10.8,-1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301774,2023-11-21T04:00:00Z,30.6508,-60.4962,NaN,NaN,1012.1,38,23.66,11.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402618,2023-11-21T04:00:00Z,23.9552,-49.8876,NaN,NaN,1014.5,NaN,27.64,11.0,-1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203861,2023-11-21T04:00:00Z,26.523,-45.9226,NaN,NaN,1015.9,NaN,26.84,10.4,-1.6,NaN,NaN,5,NaN,NaN,NaN,NaN
5102827,2023-11-21T04:00:00Z,6.77,-80.4114,NaN,NaN,1009.9,NaN,NaN,10.0,0.9,NaN,NaN,5,NaN,NaN,NaN,NaN
6203840,2023-11-21T04:00:00Z,26.2562,-50.6986,NaN,NaN,1013.8,NaN,26.58,10.8,-1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6801791,2023-11-21T04:00:00Z,32.5316,-40.4414,NaN,NaN,1017.6,7,24.54,10.4,-1.7,NaN,NaN,4,NaN,NaN,NaN,NaN
3101583,2023-11-21T03:00:00Z,5.6722,-36.6012,NaN,NaN,NaN,23,28.83,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3101583,2023-11-21T04:00:00Z,5.6854,-36.583,NaN,NaN,NaN,24,28.84,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501724,2023-11-21T04:00:00Z,26.3976,-56.4088,NaN,NaN,NaN,NaN,26.39,9.2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
3201769,2023-11-21T04:00:00Z,30.2848,-69.6014,NaN,NaN,NaN,16,24.06,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101885,2023-11-21T04:00:00Z,38.7192,-68.0972,NaN,NaN,NaN,22,NaN,10.8,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN
1301723,2023-11-21T04:00:00Z,18.2094,-52.1132,NaN,NaN,1013.4,NaN,28.33,11.2,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301714,2023-11-21T05:00:00Z,23.796,-57.5052,NaN,NaN,1011.4,NaN,27.83,11.0,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5501572,2023-11-21T05:00:00Z,33.9908,-43.0534,NaN,NaN,NaN,NaN,23.12,10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301735,2023-11-21T05:00:00Z,30.7376,-42.7398,NaN,NaN,1015.5,NaN,24.98,10.4,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402615,2023-11-21T05:00:00Z,25.6894,-61.1492,NaN,NaN,1010.8,NaN,27.23,10.6,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102557,2023-11-21T05:00:00Z,15.594,-68.4206,NaN,NaN,1010.3,23,29.0,10.6,-1.0,NaN,NaN,4,NaN,NaN,NaN,NaN
3101575,2023-11-21T05:00:00Z,11.2732,-58.499,NaN,NaN,NaN,28,29.0,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301726,2023-11-21T04:00:00Z,23.1162,-41.3556,NaN,NaN,1015.5,35,27.4,11.0,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301726,2023-11-21T05:00:00Z,23.1078,-41.3584,NaN,NaN,1015.1,35,27.38,11.0,-1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102547,2023-11-21T05:00:00Z,26.811,-66.7838,NaN,NaN,1016.5,13,25.93,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3101515,2023-11-21T05:00:00Z,31.5774,-52.444,NaN,NaN,NaN,NaN,25.01,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101542,2023-11-21T05:00:00Z,32.8098,-44.7806,NaN,NaN,NaN,NaN,NaN,9.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301706,2023-11-21T05:00:00Z,20.3856,-68.9376,NaN,NaN,1012.5,20,27.8,10.4,-0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101851,2023-11-21T05:00:00Z,30.4152,-57.0574,NaN,NaN,1006.8,NaN,24.91,10.8,-1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402670,2023-11-21T05:00:00Z,21.1508,-60.8998,NaN,NaN,1011.1,NaN,28.34,10.6,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5802077,2023-11-21T05:00:00Z,32.3938968,-61.674909,NaN,NaN,1015.5,NaN,23.58,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402618,2023-11-21T05:00:00Z,32.491,-62.5116,NaN,NaN,1017.6,NaN,23.76,10.4,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101858,2023-11-21T05:00:00Z,35.4922,-52.2688,NaN,NaN,NaN,19,NaN,10.4,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
1301755,2023-11-21T04:00:00Z,6.7084,-57.9248,NaN,NaN,1009.7,NaN,NaN,9.2,-0.7,NaN,NaN,5,NaN,NaN,NaN,NaN
1301755,2023-11-21T05:00:00Z,6.7082,-57.9248,NaN,NaN,1009.2,NaN,NaN,9.2,-1.4,NaN,NaN,4,NaN,NaN,NaN,NaN
4102552,2023-11-21T05:00:00Z,16.243,-73.192,NaN,NaN,1010.5,19,29.54,10.6,-1.1,NaN,NaN,5,NaN,NaN,NaN,NaN
4101541,2023-11-21T05:00:00Z,29.5598,-52.9766,NaN,NaN,NaN,NaN,25.23,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301700,2023-11-21T05:00:00Z,23.215,-57.1216,NaN,NaN,1011.1,NaN,27.56,10.6,-1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402884,2023-11-21T05:00:00Z,27.0618,-70.0862,NaN,NaN,1018.4,24,25.69,10.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203730,2023-11-21T05:00:00Z,26.8222,-73.0578,NaN,NaN,1018.6,NaN,26.82,10.0,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402878,2023-11-21T05:00:00Z,38.5944,-60.6248,NaN,NaN,1020.3,40,22.08,10.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402672,2023-11-21T05:00:00Z,20.1272,-57.1892,NaN,NaN,1012.1,NaN,28.62,10.8,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203766,2023-11-21T05:00:00Z,26.9752,-50.6274,NaN,NaN,NaN,NaN,26.61,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301697,2023-11-21T05:00:00Z,34.1132,-63.8888,NaN,NaN,NaN,NaN,22.68,9.4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
4101884,2023-11-21T05:00:00Z,36.1382,-69.938,NaN,NaN,NaN,27,22.16,10.8,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
3801596,2023-11-21T05:00:00Z,36.6758,-43.784,NaN,NaN,1015.0,8,22.43,10.4,-2.1,NaN,NaN,4,NaN,NaN,NaN,NaN
6203839,2023-11-21T05:00:00Z,34.0502,-52.6358,NaN,NaN,1006.0,NaN,23.75,10.4,-2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102561,2023-11-21T05:00:00Z,15.0438,-65.1654,NaN,NaN,1010.8,19,29.27,10.4,-1.0,NaN,NaN,5,NaN,NaN,NaN,NaN
4402674,2023-11-21T05:00:00Z,29.5588,-65.6514,NaN,NaN,1018.0,NaN,25.91,10.8,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101523,2023-11-21T05:00:00Z,31.619,-63.4244,NaN,NaN,NaN,1,NaN,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301663,2023-11-21T05:00:00Z,36.0106,-70.7866,NaN,NaN,NaN,6,NaN,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801783,2023-11-21T05:00:00Z,29.0360488,-80.9002611,NaN,NaN,1018.6,NaN,21.62,10.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501779,2023-11-21T05:00:00Z,20.5554,-64.0028,NaN,NaN,NaN,NaN,28.45,10.4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
6402616,2023-11-21T05:00:00Z,28.6014,-42.406,NaN,NaN,1015.6,NaN,25.07,10.8,-1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501780,2023-11-21T05:00:00Z,23.0898,-60.8084,NaN,NaN,NaN,NaN,27.89,10.4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
5802076,2023-11-21T05:00:00Z,21.7480427,-95.9662962,NaN,NaN,1009.5,NaN,26.24,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402675,2023-11-21T05:00:00Z,26.1472,-45.7292,NaN,NaN,1014.8,NaN,27.24,10.8,-1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102667,2023-11-21T05:00:00Z,24.0152,-74.4404,NaN,NaN,NaN,13,27.46,7.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102668,2023-11-21T05:00:00Z,27.2368,-42.0146,NaN,NaN,NaN,39,26.5,7.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402665,2023-11-21T05:00:00Z,27.1348,-71.204,NaN,NaN,1018.8,NaN,26.57,9.6,-0.2,NaN,NaN,5,NaN,NaN,NaN,NaN
6203771,2023-11-21T05:00:00Z,26.6518,-41.1664,NaN,NaN,1015.6,NaN,25.8,10.6,-1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402882,2023-11-21T05:00:00Z,32.7946,-54.3876,NaN,NaN,1005.6,33,24.57,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501691,2023-11-21T05:00:00Z,29.138,-69.3704,NaN,NaN,NaN,12,24.79,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102665,2023-11-21T05:00:00Z,29.4088,-78.2294,NaN,NaN,NaN,29,25.89,7.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203772,2023-11-21T05:00:00Z,23.9618,-68.4004,NaN,NaN,1014.1,NaN,27.09,10.6,-0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301783,2023-11-21T05:00:00Z,19.1788,-56.207,NaN,NaN,1012.5,34,28.25,11.6,-1.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402617,2023-11-21T05:00:00Z,29.6006,-44.6542,NaN,NaN,1015.7,NaN,24.96,11.2,-2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203773,2023-11-21T05:00:00Z,34.7894,-60.9158,NaN,NaN,1016.0,NaN,22.56,10.4,-0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301712,2023-11-21T05:00:00Z,23.6536,-62.1182,NaN,NaN,1011.3,NaN,27.48,11.0,-0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301736,2023-11-21T05:00:00Z,24.4792,-39.8388,NaN,NaN,1015.1,22,27.2,10.6,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301737,2023-11-21T05:00:00Z,26.6702,-56.5398,NaN,NaN,1009.4,NaN,26.48,10.8,-2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4804104,2023-11-21T05:00:00Z,24.5253678,-89.919468,NaN,NaN,1012.0,NaN,27.04,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301731,2023-11-21T05:00:00Z,25.7452,-40.8214,NaN,NaN,1015.7,NaN,27.28,10.6,-1.7,NaN,NaN,4,NaN,NaN,NaN,NaN
1301570,2023-11-21T05:00:00Z,25.7328,-52.2636,NaN,NaN,NaN,NaN,27.29,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301666,2023-11-21T05:00:00Z,40.6348,-52.7262,NaN,NaN,NaN,NaN,21.15,15.0,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN
1301796,2023-11-21T05:00:00Z,17.1014,-40.2212,NaN,NaN,1013.3,41,27.72,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203597,2023-11-21T05:00:00Z,32.115,-67.302,NaN,NaN,NaN,NaN,23.09,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5102764,2023-11-21T05:00:00Z,2.63,-81.327,NaN,NaN,NaN,NaN,27.83,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203849,2023-11-21T05:00:00Z,26.0602,-44.917,NaN,NaN,1015.3,NaN,27.46,10.2,-1.6,NaN,NaN,4,NaN,NaN,NaN,NaN
4101848,2023-11-21T05:00:00Z,38.1966,-72.9332,NaN,NaN,1029.6,NaN,24.91,10.4,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402660,2023-11-21T05:00:00Z,24.6684,-54.861,NaN,NaN,1012.0,NaN,27.66,9.6,-1.6,NaN,NaN,4,NaN,NaN,NaN,NaN
1301713,2023-11-21T05:00:00Z,15.7398,-72.9938,NaN,NaN,1010.4,NaN,29.32,10.8,-0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301797,2023-11-21T05:01:00Z,17.965,-44.0712,NaN,NaN,1013.8,34,27.8,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301571,2023-11-21T05:00:00Z,29.7778,-61.481,NaN,NaN,NaN,NaN,24.83,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402744,2023-11-21T05:00:00Z,40.787,-43.201,NaN,NaN,1014.1,25,20.6,10.2,-1.4,NaN,NaN,65,NaN,NaN,NaN,NaN
4102559,2023-11-21T04:00:00Z,39.2106,-69.857,NaN,NaN,1031.4,8,17.31,9.0,1.4,NaN,NaN,4,NaN,NaN,NaN,NaN
4102559,2023-11-21T05:00:00Z,39.2056,-69.8602,NaN,NaN,1031.5,8,17.39,9.0,0.9,NaN,NaN,4,NaN,NaN,NaN,NaN
1301718,2023-11-21T05:00:00Z,30.7218,-45.5512,NaN,NaN,1014.7,NaN,25.06,10.4,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301779,2023-11-21T05:00:00Z,23.7962,-51.1962,NaN,NaN,1013.4,44,27.48,11.6,-1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301792,2023-11-21T05:00:00Z,19.707,-46.341,NaN,NaN,1012.8,49,28.1,10.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301749,2023-11-21T05:00:00Z,1.8168,-78.7626,NaN,NaN,NaN,5,26.33,10.2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
1301719,2023-11-21T05:00:00Z,26.5134,-55.224,NaN,NaN,1011.1,NaN,26.4,10.8,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301774,2023-11-21T05:00:00Z,30.6444,-60.4944,NaN,NaN,1012.2,38,23.64,11.6,-0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402618,2023-11-21T05:00:00Z,23.9482,-49.8896,NaN,NaN,1013.9,NaN,27.66,11.0,-1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203861,2023-11-21T05:00:00Z,26.5236,-45.9242,NaN,NaN,1015.0,NaN,26.83,10.4,-1.8,NaN,NaN,4,NaN,NaN,NaN,NaN
5102827,2023-11-21T05:00:00Z,6.7532,-80.411,NaN,NaN,1009.5,NaN,NaN,10.0,-0.2,NaN,NaN,4,NaN,NaN,NaN,NaN
6203840,2023-11-21T05:00:00Z,26.2552,-50.6972,NaN,NaN,1013.0,NaN,26.57,10.8,-2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6801791,2023-11-21T05:00:00Z,32.5352,-40.4386,NaN,NaN,1017.1,7,24.53,10.4,-1.8,NaN,NaN,5,NaN,NaN,NaN,NaN
1501724,2023-11-21T05:00:00Z,26.3932,-56.397,NaN,NaN,NaN,NaN,26.38,9.2,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
3201769,2023-11-21T05:00:00Z,30.2818,-69.6008,NaN,NaN,NaN,12,24.04,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101885,2023-11-21T05:00:00Z,38.7202,-68.0436,NaN,NaN,NaN,22,NaN,10.8,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN
1301723,2023-11-21T05:00:00Z,18.2068,-52.12,NaN,NaN,1013.0,NaN,28.35,11.2,-1.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301714,2023-11-21T06:00:00Z,23.798,-57.5062,NaN,NaN,1010.4,NaN,27.83,11.0,-1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5501572,2023-11-21T06:00:00Z,33.9826,-43.05,NaN,NaN,NaN,NaN,23.12,10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301735,2023-11-21T06:00:00Z,30.7376,-42.7342,NaN,NaN,1015.0,NaN,24.98,10.4,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402615,2023-11-21T06:00:00Z,25.6824,-61.1384,NaN,NaN,1010.4,NaN,27.27,10.6,-1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102557,2023-11-21T06:00:00Z,15.586,-68.4158,NaN,NaN,1010.0,23,29.0,10.6,-1.3,NaN,NaN,5,NaN,NaN,NaN,NaN
3101575,2023-11-21T06:00:00Z,11.2658,-58.5072,NaN,NaN,NaN,28,29.0,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102547,2023-11-21T06:00:00Z,26.8156,-66.788,NaN,NaN,1016.5,13,25.92,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3101515,2023-11-21T06:00:00Z,31.5862,-52.4442,NaN,NaN,NaN,NaN,25.01,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101542,2023-11-21T06:00:00Z,32.8108,-44.782,NaN,NaN,NaN,NaN,NaN,9.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301706,2023-11-21T06:00:00Z,20.3822,-68.9366,NaN,NaN,1012.1,21,27.79,10.4,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101851,2023-11-21T06:00:00Z,30.4178,-57.0582,NaN,NaN,1006.5,NaN,24.9,10.8,-0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402670,2023-11-21T06:00:00Z,21.1538,-60.9004,NaN,NaN,1010.4,NaN,28.34,10.6,-1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5802077,2023-11-21T06:00:00Z,32.3854439,-61.6787673,NaN,NaN,1015.8,NaN,23.57,10.4,0.0,NaN,NaN,NaN,7.15,3.8,9,19.9
4402618,2023-11-21T06:00:00Z,32.4822,-62.5066,NaN,NaN,1017.5,NaN,23.77,10.4,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101858,2023-11-21T06:00:00Z,35.507,-52.2648,NaN,NaN,NaN,19,NaN,10.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
1301755,2023-11-21T06:00:00Z,6.7082,-57.9248,NaN,NaN,1008.3,NaN,NaN,9.2,-1.8,NaN,NaN,5,NaN,NaN,NaN,NaN
4102552,2023-11-21T06:00:00Z,16.2326,-73.1998,NaN,NaN,1010.3,19,29.56,10.6,-1.7,NaN,NaN,3,NaN,NaN,NaN,NaN
4101541,2023-11-21T06:00:00Z,29.5546,-52.9652,NaN,NaN,NaN,NaN,25.24,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301700,2023-11-21T06:00:00Z,23.221,-57.1166,NaN,NaN,1010.6,NaN,27.57,10.6,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402884,2023-11-21T06:00:00Z,27.0508,-70.0864,NaN,NaN,1018.3,29,25.68,10.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203730,2023-11-21T06:00:00Z,26.8228,-73.0678,NaN,NaN,1018.4,NaN,26.8,10.0,-0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4804103,2023-11-21T06:00:00Z,25.7963596,-80.1978647,NaN,NaN,1016.2,NaN,25.77,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402878,2023-11-21T06:03:00Z,38.583,-60.6178,NaN,NaN,1020.9,43,22.08,10.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402885,2023-11-21T06:00:00Z,32.1052,-48.9596,NaN,NaN,1011.5,54,23.5,10.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402672,2023-11-21T06:00:00Z,20.1258,-57.1904,NaN,NaN,1011.3,NaN,28.34,10.8,-2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203766,2023-11-21T06:00:00Z,26.9726,-50.6218,NaN,NaN,NaN,NaN,26.59,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301697,2023-11-21T06:00:00Z,34.0952,-63.895,NaN,NaN,NaN,NaN,22.68,9.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
4101884,2023-11-21T06:00:00Z,36.1732,-69.9014,NaN,NaN,NaN,27,22.17,10.8,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN
3801596,2023-11-21T06:00:00Z,36.6858,-43.8032,NaN,NaN,1014.7,8,22.44,10.4,-1.8,NaN,NaN,5,NaN,NaN,NaN,NaN
6203839,2023-11-21T06:00:00Z,34.0584,-52.6244,NaN,NaN,1005.3,NaN,23.77,10.4,-3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102561,2023-11-21T06:00:00Z,15.0388,-65.1696,NaN,NaN,1009.9,19,29.26,10.4,-1.8,NaN,NaN,5,NaN,NaN,NaN,NaN
4402674,2023-11-21T06:00:00Z,29.5578,-65.6446,NaN,NaN,1017.9,NaN,25.91,10.8,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101523,2023-11-21T06:00:00Z,31.6134,-63.4348,NaN,NaN,NaN,1,NaN,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301663,2023-11-21T06:00:00Z,36.0256,-70.7514,NaN,NaN,NaN,5,NaN,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801783,2023-11-21T06:00:00Z,29.0363923,-80.8999489,NaN,NaN,1018.4,NaN,20.88,10.8,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4804102,2023-11-21T06:00:00Z,18.425155,-93.4038132,NaN,NaN,1008.7,NaN,25.95,10.2,0.0,NaN,NaN,NaN,6.95,0.18,10,80.6
1501779,2023-11-21T06:00:00Z,20.5554,-64.0002,NaN,NaN,NaN,NaN,28.45,10.4,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN
6402616,2023-11-21T06:00:00Z,28.6124,-42.3972,NaN,NaN,1015.1,NaN,25.07,10.8,-1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501780,2023-11-21T06:00:00Z,23.098,-60.8018,NaN,NaN,NaN,NaN,27.89,10.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
5802076,2023-11-21T06:00:00Z,21.7367754,-95.9761597,NaN,NaN,1010.1,NaN,26.22,10.6,0.0,NaN,NaN,NaN,5.2,1.36,7,115.5
4402675,2023-11-21T06:00:00Z,26.152,-45.7242,NaN,NaN,1014.3,NaN,27.23,10.8,-1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102667,2023-11-21T06:00:00Z,24.0154,-74.4404,NaN,NaN,NaN,17,27.49,7.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102668,2023-11-21T06:00:00Z,27.2376,-42.0186,NaN,NaN,NaN,35,26.52,7.6,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402665,2023-11-21T06:00:00Z,27.1244,-71.2062,NaN,NaN,1018.7,NaN,26.56,9.6,-0.2,NaN,NaN,5,NaN,NaN,NaN,NaN
